zone_climatique,typologie,etat_isolation_menuiseries,etat_isolation_plancher_bas,etat_isolation_plancher_haut,etat_isolation_murs,scenario_renovation_enveloppe,etat_isolation_menuiseries_apres_scénario_renovation_enveloppe,etat_isolation_plancher_bas_apres_scénario_renovation_enveloppe,etat_isolation_plancher_haut_apres_scénario_renovation_enveloppe,etat_isolation_murs_apres_scénario_renovation_enveloppe,type_CH,type_ECS,CH,ECS,emetteur,scenario_renovation_systeme,usage_CH,usage_ECS,Annexe,CEP,GES,DPE,gain_CEP
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,186,53,E,49%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,195,52,E,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,66%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,138,16,C,63%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,194,10,D,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,197,16,D,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,S0,,,0,368,18,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,242,64,E,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,299,18,E,19%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,308,18,E,16%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,210,27,D,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,262,17,E,29%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,267,27,E,27%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,S0,,,0,339,16,F,8%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,222,58,E,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,270,17,E,27%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,279,16,E,24%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,179,16,C,51%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,191,24,D,48%
